TIC ID;TOI;TESS Disposition;TFOPWG Disposition;Source;Period (days);Period (days) err;Date TOI Alerted (UTC);Date TOI Updated (UTC);Date Modified;Comments
438777551;3161.01;PC;PC;qlp;14.017.864;0.0001919;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
433546897;3162.01;PC;PC;qlp;15.752.991;0.0009881;04/06/2021;04/06/2021;23/03/2022 00:00;found in faint-star QLP search
425316308;3163.01;PC;PC;qlp;3.074.928;0.0003465;04/06/2021;04/06/2021;23/03/2022 00:00;found in faint-star QLP search
419946164;3164.01;PC;FP;qlp;17.765.395;0.0001501;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
419858461;3165.01;PC;PC;qlp;25.428.536;0.0010838;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
412371819;3166.01;PC;PC;qlp;18.755.818;0.0003631;04/06/2021;04/06/2021;23/03/2022 00:00;found in faint-star QLP search
411796826;3167.01;PC;PC;qlp;3.095.332;0.0008128;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
410554986;3168.01;PC;PC;qlp;51.737.334;0.0012226;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
403911354;3169.01;PC;PC;qlp;44.813.865;0.0002952;04/06/2021;04/06/2021;23/03/2022 00:00;found in faint-star QLP search
400712525;3170.01;PC;PC;qlp;18.923.179;0.0005224;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
399058051;3171.01;PC;PC;qlp;1.570.794;0.0006306;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
398502253;3172.01;PC;PC;qlp;30.029.309;0.0009644;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
398466662;3173.01;PC;PC;qlp;87.710.947;0.0010425;04/06/2021;04/06/2021;23/03/2022 00:00;found in faint-star QLP search
392112968;3174.01;PC;PC;qlp;11.955.605;0.000231;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
391510223;3175.01;PC;PC;qlp;16.549.485;0.0004104;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
389999924;3176.01;PC;PC;qlp;47.607.378;0.0016464;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
383410746;3177.01;PC;PC;qlp;21.142.259;0.0004781;04/06/2021;04/06/2021;23/03/2022 00:00;found in faint-star QLP search
381996371;3178.01;PC;PC;qlp;29.340.265;0.0009261;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
378227267;3179.01;PC;PC;qlp;47.074.183;0.0003285;04/06/2021;04/06/2021;23/03/2022 00:00;found in faint-star QLP search
372960748;3180.01;PC;PC;qlp;20.960.251;0.0001895;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
372596796;3181.01;PC;FP;qlp;35.366.743;0.0001518;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
372448111;3182.01;PC;PC;qlp;50.701.169;0.001948;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
370385007;3183.01;PC;PC;qlp;42.161.562;0.0019864;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
366248595;3184.01;PC;PC;qlp;3.609.086;0.0021764;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
363661031;3185.01;PC;PC;qlp;35.607.532;0.0005183;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
363632843;3186.01;PC;PC;qlp;36.131.943;0.0002629;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
245027119;3187.01;PC;PC;qlp;20.090.138;0.0007725;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
363202582;3188.01;PC;PC;qlp;15.661.181;0.0000945;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
361998994;3189.01;PC;PC;qlp;184.996;0.0001401;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
344745774;3190.01;PC;PC;qlp;26.689.774;0.0003898;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
342375120;3191.01;PC;PC;qlp;44.397.345;0.0019999;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
336613507;3192.01;PC;PC;qlp;22.350.716;0.0003991;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
334757798;3193.01;PC;PC;qlp;23.019.268;0.0009268;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
333511802;3194.01;PC;PC;qlp;36.174.873;0.0022051;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
332880327;3195.01;PC;PC;qlp;0.6677726;0.0001659;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
331297805;3196.01;PC;PC;qlp;49.816.296;0.0018854;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
331160996;3197.01;PC;PC;qlp;21.972.485;0.0005637;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
121625070;3198.01;PC;PC;qlp;21.268.157;0.0002174;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
330885564;3199.01;PC;PC;qlp;0.6755314;0.0001679;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
330014070;3200.01;PC;PC;qlp;63.076.104;0.0012709;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
329921262;3201.01;PC;PC;qlp;23.648.698;0.0007631;04/06/2021;04/06/2021;23/03/2022 00:00;found in faint-star QLP search
329691586;3202.01;PC;PC;qlp;15.163.257;0.0004897;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
329609449;3203.01;PC;PC;qlp;42.478.816;0.0020863;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
326662822;3204.01;PC;PC;qlp;40.435.019;0.0014931;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
322862882;3205.01;PC;PC;qlp;12.366.877;0.0001034;04/06/2021;04/06/2021;29/10/2021 00:00;V-shaped
321802774;3206.01;PC;PC;qlp;19.402.399;0.0009747;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
320994166;3207.01;PC;PC;qlp;40.996.465;0.0008484;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
319949055;3208.01;PC;PC;qlp;23.566.575;0.0006022;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
