TIC ID;TOI;TESS Disposition;Source;Period (days);Stellar Radius (R_Sun);Stellar Mass (M_Sun);Date TOI Alerted (UTC);Date TOI Updated (UTC);Date Modified;Comments
281909674;534.01;KP;spoc-s01-s36-b0A-CPKP;403.504.443.843.292;113.706.994.056.702;1.08;28/03/2019;09/12/2021;21/12/2021 12:05;CoRoT-13 b
280210963;535.01;KP;spoc-s01-s36-b0A-CPKP;282.803.914.988.691;103.673.994.541.168;1.02;28/03/2019;09/12/2021;21/12/2021 12:05;CoRoT-12 b
234825296;536.01;KP;spoc-s01-s36-b0A-CPKP;924.323.029.360.052;129.981.005.191.803;.94;28/03/2019;08/12/2021;21/12/2021 12:05;CoRoT-20b
234112540;537.01;KP;spoc;403.790.124.330.741;127.298.998.832.703;1.21;28/03/2019;03/12/2021;07/12/2021 12:08;CoRoT-5b
237751146;538.01;PC;spoc;166.976.904.090.466;.433512;.428732;28/03/2019;28/03/2019;29/10/2021 00:00;
238004786;539.01;PC;spoc-s01-s39-b0A-PC;0.309601708987367;.813125014305115;.8;26/02/2019;21/03/2022;25/03/2022 12:06;a/Rs ~2
200322593;540.01;CP;spoc;123.915.336.351.242;.197117000818253;.166161;07/05/2019;01/12/2021;07/12/2021 12:08;TOI-540 b
143271144;541.01;PC;spoc;135.340.841.811.146;116.766;.86;28/03/2019;18/02/2021;29/10/2021 00:00;low SNR
49771092;542.01;PC;spoc;1.631.828.231.988;.942521989345551;.85;28/03/2019;28/07/2021;29/10/2021 00:00;
53593457;543.01;PC;spoc;0.530893;.193;.291869;28/03/2019;28/03/2019;29/10/2021 00:00;possible secondary
50618703;544.01;PC;spoc;154.835.416.755.448;.663414001464844;.66;28/03/2019;14/07/2021;29/10/2021 00:00;L1 planet candidate
37168957;545.01;KP;spoc;190.008.624.738.961;.934028029441833;.97;28/03/2019;02/12/2021;07/12/2021 12:08;CoRoT-18 b
36440357;546.01;KP;spoc;920.164.964.153.958;112.270.998.954.773;1.21;28/03/2019;02/12/2021;07/12/2021 12:08;CoRoT-4 b
36352297;547.01;KP;qlp;15.089.635;1.29;1.26;28/03/2019;19/02/2021;07/12/2021 12:08;CoRoT-1 b
42821097;548.01;KP;spoc;389.712.026.061.546;163.950.002.193.451;1.03;28/03/2019;02/12/2021;07/12/2021 12:08;CoRoT-19b
32830028;549.01;PC;spoc;0.516278;.169;.284217;28/03/2019;28/03/2019;29/10/2021 00:00;marginal signal
311183180;550.01;EB;qlp-s31-ffi;1.324.981;.69;;03/04/2019;07/12/2021;21/12/2021 12:05;TFOP EB primary
311183180;550.02;PC;spoc;10.043.245;.670549;;03/04/2019;29/06/2020;29/10/2021 00:00;Gaia DR2 R = 1 R_Sun
192826603;551.01;KP;spoc;264.730.512.494.267;.567866027355194;.561044;06/06/2019;02/12/2021;07/12/2021 12:08;NGTS-1 b
44737596;552.01;PC;spoc;278.865.403.242.748;.587105989456177;.577439;17/05/2019;06/07/2021;12/01/2022 12:02;
161477033;553.01;PC;spoc;14.058.151;.839854;.91;26/02/2019;26/02/2019;29/10/2021 00:00;Period could be half because of a data gap
161477033;553.02;PC;spoc;119.234.819.437.747;.879477024078369;.91;06/06/2019;07/09/2021;29/10/2021 00:00;TOI 553.02
161477033;553.03;PC;spoc;408.905.116.602.099;.879477024078369;.91;06/06/2019;07/09/2021;29/10/2021 00:00;period updated to 40.89 days with spoc multisector
407966340;554.01;PC;qlp-s44-tois;70.491.381;1.43;1.25;03/04/2019;11/03/2022;25/03/2022 12:06;
170849515;555.01;PC;spoc;194.163.656.751.314;.633668005466461;.614735;03/04/2019;06/07/2021;29/10/2021 00:00;
59003115;556.01;EB;spoc-s05-b02_old;2.294.185;.707445;.844;03/04/2019;07/12/2021;08/12/2021 00:00;validated planet K2-78b later found to be EB
55488511;557.01;PC;spoc;334.490.399.270.253;.573952972888947;.566298;03/04/2019;13/07/2021;29/10/2021 00:00;Low SNR
207110080;558.01;CP;spoc;145.728.985.428.105;176.094.996.929.169;1.12;04/04/2019;07/10/2021;29/10/2021 00:00;TOI-558 b / TOI 558.01
209459275;559.01;PC;qlp;69.839.072;1.21;1.1;04/04/2019;29/01/2021;29/10/2021 00:00;possible tropical Jupiter
101011575;560.01;PC;spoc;639.805.963.618.148;.630294024944305;.75;05/04/2019;05/04/2019;15/03/2022 12:02;
101011575;560.02;PC;spoc;188.797.436.765.742;.630294024944305;.75;19/07/2021;19/07/2021;15/03/2022 12:02;some odd-even
377064495;561.01;CP;qlp-s46-tois;107.787.735;.84;.95;13/04/2019;11/03/2022;25/03/2022 12:06;TOI-561 c / TOI-561.01
377064495;561.02;CP;spoc;0.446569431850719;.840575993061066;.95;13/04/2019;14/10/2021;26/01/2022 12:06;TOI-561 b / TOI-561.02
377064495;561.03;CP;spoc;163.573.852.639.539;.840575993061066;.95;13/04/2019;14/10/2021;12/01/2022 12:02;TOI-561 f / TOI-561.03
413248763;562.01;CP;spoc;393.059.678.202.682;.36014398932457;.34592;13/04/2019;02/12/2021;07/12/2021 12:08;GJ 357 b
405454160;563.01;PC;spoc;7.319.380.939.054;.983025014400482;;05/04/2019;05/04/2019;29/10/2021 00:00;
1003831;564.01;CP;spoc;165.114.705.921.844;112.196.004.390.717;.977;05/04/2019;02/12/2021;07/12/2021 12:08;TOI-564 b / TOI-564.01
1103432;565.01;PC;spoc;3.727.891;134.077;1.13;05/04/2019;05/04/2019;29/10/2021 00:00;possible synchronization
1133072;566.01;EB;spoc-s08-b01;0.846542;.325;.493652;13/04/2019;07/12/2021;08/12/2021 00:00;Retired as NEB
13349647;567.01;KP;spoc;15.373.644.915.352;.95958799123764;1.08;05/04/2019;02/12/2021;07/12/2021 12:08;WASP-36 b
37575651;568.01;PC;spoc;959.719.766.745.206;;;05/04/2019;06/07/2021;29/10/2021 00:00;phase shift in odd & even events
123482865;569.01;CP;qlp;65.562.078;1.47;1.04;05/04/2019;11/06/2021;29/10/2021 00:00;crowded field
126733133;570.01;PC;spoc;146.871.620.175.243;130.575.001.239.777;1.27;05/04/2019;15/07/2021;29/10/2021 00:00;V-shaped
289535142;572.01;EB;spoc;23.382.708.901.841;117.441;1.41;13/04/2019;24/03/2021;29/10/2021 00:00;TFOP APC
296780789;573.01;PC;spoc;135.773.455.996.364;.337999999523163;.339;13/04/2019;14/10/2021;29/10/2021 00:00;A HIRES spectrum shows a clear SB2. Retired as APC/VPC/SM
315002523;574.01;KP;spoc;330.239.073.049.626;191.031.002.998.352;1.16;05/04/2019;02/12/2021;07/12/2021 12:08;HATS-26 b
386435344;575.01;PC;spoc;193.721.050.588.841;188.186;1.323;13/04/2019;18/03/2021;29/10/2021 00:00;
408310006;576.01;CP;spoc;544.353.356.745.482;125.278.997.421.265;1.141;05/04/2019;02/12/2021;07/12/2021 12:08;WASP-166 b
410094645;577.01;PC;qlp;3.329.754;1.5;1.27;13/04/2019;11/06/2021;29/10/2021 00:00;large possible hot Jupiter
423275733;578.01;KP;spoc;205.286.837.159.852;170.948.004.722.595;1.1;05/04/2019;02/12/2021;07/12/2021 12:08;WASP-142 b
238061845;579.01;PC;spoc;168.440.495.744.663;4.94;;13/04/2019;05/10/2021;29/10/2021 00:00;host is evolved star
81419525;580.01;PC;spoc;154.983.876.498.424;157.895.004.749.298;2.92;13/04/2019;05/10/2021;29/10/2021 00:00;possible centroid offset towards TIC 81419528
180987952;581.01;PC;qlp;13.891.728;1.84;2.74;13/04/2019;11/06/2021;29/10/2021 00:00;
287474726;582.01;EB;spoc;374.420.073.543.415;423.822;2.56;13/04/2019;24/03/2021;29/10/2021 00:00;TFOP FP
131743355;583.01;PC;qlp;65.604.267;1.72;2.84;13/04/2019;11/06/2021;29/10/2021 00:00;
74482749;584.01;PC;spoc;126.021.513.444.316;290.988.993.644.714;2.35;13/04/2019;05/10/2021;14/12/2021 12:02;possibly too large
190990336;585.01;PC;qlp;554.714;1.66;1.34;01/04/2019;01/04/2019;29/10/2021 00:00;there might be a secondary
131979339;586.01;PC;qlp;226.410.078;2.42;2.42;13/04/2019;11/06/2021;14/01/2022 00:00;Large Rp
294090620;587.01;PC;spoc;80.442.389.870.715;204.114.007.949.829;2.523;13/04/2019;13/04/2019;02/11/2021 14:52;low-mass stellar companion from RVs
130415266;588.01;PC;qlp;394.714;;2.69;01/04/2019;08/02/2021;29/10/2021 00:00;Updated with improved ephemeris from TFOP
412961700;589.01;PC;spoc;25.185.745.020.757;578.884;;13/04/2019;23/03/2021;29/10/2021 00:00;possible odd-even
270841724;590.01;PC;qlp;1.890.372;;;13/04/2019;09/07/2020;29/10/2021 00:00;possible EB but could be PC at half or quarter the period
146261607;591.01;EB;qlp;84.915.117;4.18;2.38;01/04/2019;30/03/2021;29/10/2021 00:00;8.5 day signal is EB
196286587;592.01;PC;spoc;104.143.882.036.637;196.896;1.3;13/04/2019;07/04/2021;29/10/2021 00:00;possible BD
128463355;593.01;EB;qlp;139.086;2.29;1.252;01/04/2019;18/03/2021;29/10/2021 00:00;TFOP FP
146406806;594.01;PC;spoc;139.496.585.824.079;;;13/04/2019;05/10/2021;29/10/2021 00:00;V shaped
287329267;595.01;EB;qlp;764.348;2.94;1.22;01/04/2019;13/11/2020;29/10/2021 00:00;TFOP FP
144956678;596.01;EB;spoc;151.360.034.493.789;293.328;1.11;13/04/2019;07/04/2021;29/10/2021 00:00;TFOP FP
146208651;597.01;PC;qlp;65.224;2.65;;01/04/2019;01/04/2019;29/10/2021 00:00;two stars on the same pixel
81429971;598.01;PC;spoc;304.269.197.265.814;1;;13/04/2019;20/05/2020;29/10/2021 00:00;
145982812;599.01;PC;qlp;0.82967;2.65;2.56;13/04/2019;13/04/2019;29/10/2021 00:00;
134396419;600.01;EB;qlp;436.539;;;13/04/2019;23/03/2021;29/10/2021 00:00;R=9 Re using the TIC Rstar
141363913;601.01;PC;qlp;34.777.695;3.1;1.2;13/04/2019;11/06/2021;29/10/2021 00:00;possible phased variability
175176327;602.01;EB;spoc;111.002.045.842.408;25.065;2.75;13/04/2019;23/03/2021;29/10/2021 00:00;TFOP APC
262746281;603.01;PC;qlp-s45-ffi;161.440.845;1.63;1.072;13/04/2019;07/02/2022;08/02/2022 12:05;likely TTVs
145027461;604.01;PC;qlp;107.242;7.97;;01/04/2019;09/07/2020;29/10/2021 00:00;TFOP NEB
181304295;605.01;PC;spoc;338.317.430.362.146;21.240.599.155.426;;13/04/2019;20/05/2020;29/10/2021 00:00;V-shaped transit
122262940;606.01;PC;qlp;200.337;2.22;1.44;01/04/2019;01/04/2019;29/10/2021 00:00;large planet
153651591;607.01;PC;spoc;214.563.244.308.398;280.165;2.39;13/04/2019;20/05/2020;29/10/2021 00:00;TFOP FP
186547153;608.01;EB;qlp;11.888.925;2.14;;13/04/2019;05/05/2021;29/10/2021 00:00;Given Teff = 8323 K
134404603;609.01;EB;spoc;496.976.453.235.673;119.285;1.03;13/04/2019;24/03/2021;29/10/2021 00:00;TFOP APC
80275202;610.01;PC;qlp;366.465;1.54;2.07;13/04/2019;13/04/2019;29/10/2021 00:00;need to check 80275180
154459165;611.01;PC;qlp;314.905;.79;.79;01/04/2019;20/05/2020;29/10/2021 00:00;PC if on 154459165
284738182;612.01;PC;spoc;0.913715761461377;149.975.001.811.981;1.59;13/04/2019;05/10/2021;29/10/2021 00:00;large planet
77527511;613.01;PC;qlp;0.7784962;2.19;;13/04/2019;11/06/2021;20/12/2021 12:01;V-shaped
118021229;614.01;PC;qlp;0.88501;2.15;.962;13/04/2019;13/04/2019;29/10/2021 00:00;
190496853;615.01;PC;qlp;46.616.013;1.7;1.7;13/04/2019;11/06/2021;29/10/2021 00:00;
145879095;616.01;PC;spoc;280.549.798.317.658;;;01/04/2019;05/10/2021;29/10/2021 00:00;transiting object might be too big
141227133;617.01;PC;qlp;242.232;;;13/04/2019;09/07/2020;29/10/2021 00:00;TFOP NEB
173640199;618.01;PC;qlp;7.761.485;1.43;1.34;13/04/2019;11/06/2021;29/10/2021 00:00;likely large planet
267527924;619.01;PC;qlp;180.819;;;13/04/2019;13/04/2019;29/10/2021 00:00;
296739893;620.01;PC;spoc;50.988.306.056.429;.547452986240387;.542958;13/04/2019;15/07/2021;29/10/2021 00:00;
30828562;621.01;PC;spoc;3.112.361;204.956;2.09;10/04/2019;10/04/2019;29/10/2021 00:00;possible hot Jupiter
83092282;622.01;PC;spoc;640.252.620.727.182;140.719.997.882.843;1.42;10/04/2019;06/07/2021;29/10/2021 00:00;possible hot Saturn
101395259;623.01;PC;spoc;15.151.486;148.665;1.34;10/04/2019;10/04/2019;29/10/2021 00:00;could be at half the period
399870368;624.01;PC;qlp;27.443.212;1.97;2.19;23/04/2019;01/02/2021;29/10/2021 00:00;HAT-P-70 b. Rstar = 2.11 Rsun in TIC. Rp = 23 Re.
379929661;625.01;CP;qlp;4.786.955;1.91;1.796;23/04/2019;11/06/2021;29/10/2021 00:00;HAT-P-69 b
65412605;626.01;CP;qlp;44.010.437;2.32;2.11;23/04/2019;11/06/2021;29/10/2021 00:00;KELT-25 b (Rodriguez Martinez et al
365781372;627.01;PC;qlp;113.889;2.79;2.42;23/04/2019;23/04/2019;29/10/2021 00:00;check nearby bright stars
281408474;628.01;PC;qlp;34.076;1.38;1.179;23/04/2019;20/05/2020;12/01/2022 12:02;hot Jupiter
293853437;629.01;PC;spoc;871.796.076.042;238.236;2.321;23/04/2019;18/02/2021;29/10/2021 00:00;brown dwarf companion with a mass of roughly 55 Mjup
123898871;630.01;EB;spoc;490.939.433.593.789;169.733;1.629;23/04/2019;18/02/2021;29/10/2021 00:00;
97158538;631.01;EB;spoc;259.507.471.269.952;224.201;1.483;23/04/2019;11/03/2021;29/10/2021 00:00;synchronized
349790953;632.01;EB;qlp;15.521.101;12.23;;11/04/2019;20/08/2021;29/10/2021 00:00;Secondary
348755723;633.01;PC;spoc;4.503.645;1;.427418;23/04/2019;29/05/2020;29/10/2021 00:00;Follow-up (Will Waalkes and Zach Berta-Thompson) ruled out a transit on TOI 633 but confirmed a 9.6 ppt event on 348755728
344926234;634.01;PC;spoc;0.49359;102.918;1.09;23/04/2019;23/04/2019;29/10/2021 00:00;Diff Image Quality flagged as unreliable
286132427;635.01;PC;spoc;0.493379;100.635;1.05;23/04/2019;23/04/2019;29/10/2021 00:00;could be on TIC 286132422
146463781;636.01;PC;spoc;0.417921;.275;.368528;11/04/2019;11/04/2019;29/10/2021 00:00;crowded field
133334108;637.01;PC;spoc;285.798.210.808.304;;;11/04/2019;28/07/2021;29/10/2021 00:00;v-shaped
78154865;638.01;PC;spoc;0.493826;108.524;1.12;23/04/2019;23/04/2019;29/10/2021 00:00;PC
82362447;639.01;PC;spoc;2.819.817;.441;.271062;23/04/2019;23/04/2019;29/10/2021 00:00;Crowded field
147977348;640.01;PC;spoc;500.377.538.208.305;208.785.009.384.155;1.3;06/05/2019;29/09/2021;12/01/2022 12:02;SG1 should clear neighbor. Large PC.
49079670;641.01;PC;spoc;189.349.418.940.123;104.432;1.002;06/05/2019;20/05/2020;29/10/2021 00:00;
79292541;642.01;PC;spoc;227.850.940.823.965;262.521;2.13;06/05/2019;20/05/2020;29/10/2021 00:00;
432008938;643.01;PC;spoc;9.653.456;.315;.341657;11/04/2019;11/04/2019;29/10/2021 00:00;period might be double
63303499;644.01;PC;spoc;192.713.275.821.747;1.25;;06/05/2019;29/09/2021;29/10/2021 00:00;possible NEB to E
157568289;645.01;PC;qlp;184.051;2.49;1.28;06/05/2019;06/05/2019;29/10/2021 00:00;Either diluted or blended PC: matches 17000 ppm deep eclipse on 157568287 of dT=1.8 mag
238197709;646.01;EB;spoc;13.725.252.177.625;186.397;1.15;15/08/2019;02/02/2021;29/10/2021 00:00;4-sigma odd-even
92992033;647.01;PC;qlp;490.765;5.01;;06/05/2019;20/05/2020;29/10/2021 00:00;v-shaped
78672342;648.01;PC;qlp;297.638;3.56;1.46;06/05/2019;06/05/2019;29/10/2021 00:00;possible odd-even
